surname ,name ,Sender_account,Receiver_account,Transaction_amount,Old Balance,NewBalance,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,FraudResult,"Laundering_type,"
Chinhava,Samuel,8197072010,9461146315,9487.08,20414,10926.92,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Behavioural_Change_2,"
Chombo,Felicia,5021785800,4065028145,7734.86,75003.27,67268.41,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_Out,"
Domboka ,Linda,3651814546,9273258089,4235.2,9045,4809.8,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Dongo,Stephanie,3651814546,9273258089,9745.4,49692,39946.6,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Fuzani,Dawn,3885905606,933899052,1874.64,50901,49026.36,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Behavioural_Change_1,"
Fuzonze,Susan,3651814546,9273258089,4028.62,20252,16223.38,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Hama,Juan,3651814546,9273258089,216.13,5028,4811.87,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Jera,Michael,5021785800,4065028145,1353.75,38095.2,36741.44,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_Out,"
KAPITENI,Daniel,3651814546,9273258089,8171.02,14607,6435.98,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Kaputuru,Tina,4121839534,2331522463,13786.41,20880,7093.59,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Small_Fan_Out,"
Kurutsu,Mary,5021785800,4065028145,35994.44,225137.71,189143.27,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_Out,"
Manjeya,PREVAIL,1424693007,3338042597,31844.15,17100000,17154521.35,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Behavioural_Change_2,"
Martin,Scott,3651814546,9273258089,162.26,1343.64,1181.37,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Martinez,Nathan,3651814546,9273258089,11364.63,203658,192293.37,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Mbire,Rachel,2498232404,6645074569,5028.56,10162,5133.44,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Small_Fan_Out,"
Mcclure,Melissa,3651814546,9273258089,2475.42,56067,53591.58,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Mendoza,Vicki,5021785800,4065028145,9850.87,145486,135635.13,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_Out,"
Munoz,Jeffrey,5021785800,4065028145,311.58,35669,35357.42,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_Out,"
Murray,PRIDE,476800554,9899077221,243421.73,9896526.73,10139948.46,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Deposit-Send,"
Nelson,Barbara,5458014530,2399858017,6206.53,7050,843.47,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Layered_Fan_Out,"
Robinson,Monique,5021785800,4065028145,3978.86,21325,17346.14,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_Out,"
Robles,Charles,3651814546,9273258089,663.34,1347260.94,1346597.6,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Smith,Mackenzie,7669236826,4294761058,18736.83,52937,34200.17,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Fan_Out,"
Stevens,John,3651814546,9273258089,8886.57,125255,116368.43,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Sullivan,Thomas,3651814546,9273258089,11176.31,12380,1203.69,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Velazquez,Robert,5095505244,8251530095,13094.97,21511,8416.03,us dollar,US dollar,ZIM,Singapore,Cross-border,1,"Single_large,"
Wall,Mary,3651814546,9273258089,3115.71,414535,411419.29,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Whitehead,Ashley,3651814546,9273258089,8869.78,30948,22078.22,us dollar,US dollar,ZIM,Singapore,Cash Withdrawal,1,"Cash_Withdrawal,"
Williamson,Christie,3938922629,395839630,2831.44,11763,8931.56,us dollar,US dollar,ZIM,Singapore,Cross-border,0,"Normal_Small_Fan_Out,"
CHAZIKA,Hayden,7993303298,9101431692,13496.51,109956,96459.49,us dollar,Yen,ZIM,Botswana,Cross-border,1,"Structuring,"
CHINAMASA,Justin,8197072010,148759130,20983.51,31088,10104.49,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_2,"
CHINANGA,Vanessa,8197072010,7656126612,3688.28,32528,28839.72,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_2,"
CHINHANHU,Teresa,3190048835,2531548770,252921.55,257357.14,4435.59,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
CHIWEZA,Jennifer,1021972,3575435324,1805.14,19079,17273.86,us dollar,US dollar,ZIM,Botswana,Cross-border,1,"Deposit-Send,"
Cox,Brittany,4148629162,1269866409,8090.24,14584,6493.76,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Small_Fan_Out,"
Diaz,Mary,6837507008,2531548770,4658.88,93379,88720.12,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
Fisher,Michael,8203229522,8519194353,2343.39,6065,3721.61,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
Foley,Brianna,4988967549,6715341584,7366.83,10502.03,3135.2,Pula,pula,Albania,Botswana,Debit card,0,"Normal_Small_Fan_Out,"
Gamble,Crystal,3510078932,8722924810,1545.23,11235,9689.77,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
GONDONGWE,Tanya,8465703037,3504367345,10477.29,337754.61,327277.32,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Plus_Mutual,"
GOZI,Edward,8501920513,4692318788,4448.09,8739.69,4291.6,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_2,"
Gregory,Christopher,6716795265,2394671007,7688.52,20119,12430.48,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Small_Fan_Out,"
GWAWU,Pamela,8537288551,975871064,5422.41,29763,24340.59,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_2,"
GWAZA,Daniel,8537288551,3566365216,90.97,20379,20288.03,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_2,"
GWINJI,Audrey,8585579344,2531548770,589.75,5724,5134.25,us dollar,Rands,ZIM,Botswana,Cross-border,1,"Structuring,"
Hudson,Joanna,3885905606,6167974037,3588.98,20968,17379.02,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_1,"
Hundu,TASHINGA JUSTICE,1173553473,9101431692,40853.65,12400000,12464309.28,us dollar,US dollar,ZIM,Botswana,Cross-border,1,"Structuring,"
HUTETE,Morgan,8600542721,7689874264,2883.1,24187.42,21304.32,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_1,"
Jacobs,Jill,3510078932,8722924810,5801.62,299029,293227.38,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
Jones,Amanda,3704147823,3960870790,9222.29,10191.79,969.51,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Small_Fan_Out,"
KAMBA,Charles,8765837034,5706648130,6010.62,549946.93,543936.31,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Small_Fan_Out,"
KANYEPI,Tammie,8848140810,1204831577,1287.33,11408,10120.67,us dollar,pula,ZIM,Botswana,Cross-border,1,"Deposit-Send,"
Lambert,Matthew,3510078932,8722924810,2965.71,5041,2075.29,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
Lambert,Matthew,4988967549,6715341584,7208.48,228166.75,220958.27,Pula,pula,Albania,Botswana,Debit card,0,"Normal_Small_Fan_Out,"
Lawson,Ann,7352073803,7423781443,5598.36,57223,51624.64,us dollar,pula,ZIM,Botswana,Cross-border,1,"Deposit-Send,"
Makuvire,PROSPER SIMBARASHE,1239830563,2531548770,259487.09,11161963.67,11421450.76,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
Makwembere,MONALISA,1285588849,2531548770,20035.76,11646533.92,11666569.68,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
Maneta,DONEWELL,1378784400,3466246214,117048.29,14600000,14677859.09,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
Manhombo,MASIMBA,1424693007,593436072,69981.35,16700000,16750884.51,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_2,"
Manjengwa,CHANTEL TAWANASHE,1424693007,9981610223,371792.68,16800000,17122677.19,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_2,"
Marsh,Wayne,7437186310,3173291888,2237.87,10659,8421.13,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
Mbiba,Joseph,2477803987,2666796887,901.32,11665,10763.68,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Mutual,"
Mendez,Eddie,8203229522,8519194353,1915.43,11450,9534.57,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
Montoya,Sydney,4734287837,9101431692,9665.18,30085,20419.82,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
MUREVACHIMWE,Justin,6123762963,2979548522,4804.68,38100.95,33296.27,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_1,"
Murphy,Jason,7627772980,4455047767,5916.83,20218,14301.17,us dollar,pula,ZIM,Botswana,Cross-border,1,"Layered_Fan_Out,"
Mushohwe,Alan,9700230961,2531548770,2221.22,60061.33,57840.12,rands,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
NGANI,Melissa,3950352859,5454032169,864.58,72516,71651.42,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_1,"
Nixon,Joseph,4077353464,9179681342,9083.04,10886,1802.96,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Small_Fan_Out,"
Nyandoro,Robert,2975433371,2531548770,7227,11389,4162,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
NZARA,Justin,3510078932,8722924810,54120.86,460099,405978.14,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
Ongai,Erin,9741665599,2531548770,9690.05,17611.34,7921.29,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
PAMBARIZA,John,9327083401,2531548770,4096.05,9751,5654.95,Naira,pula,Nigeria,Botswana,Cross-border,1,"Structuring,"
Patterson,Andrew,7419021638,6066672865,11096.2,25957,14860.8,rands,pula,ZIM,Botswana,Cross-border,0,"Normal_Small_Fan_Out,"
Perez,Jessica,4551306098,9101431692,3869.41,126613,122743.59,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
Perez,Brenda,6558961368,3173291888,9274.89,10923,1648.11,Pula,pula,Turkey,Botswana,Cross-border,1,"Structuring,"
Pruitt,Mary,6726922016,1687567916,656.31,25215,24558.69,us dollar,pula,ZIM,Botswana,Cross-border,1,"Deposit-Send,"
Raymond,CLEOPATRA TABETH,772845860,58951323,192243.22,17100000,17306330.18,us dollar,pula,Botswana,Botswana,Cross-border,0,"Normal_Small_Fan_Out,"
RUNGANGA,Mackenzie,9380493823,9243465979,8513.93,30104,21590.07,us dollar,pula,ZIM,Botswana,Cross-border,1,"Deposit-Send,"
Skinner,William,3510078932,8722924810,6037.15,79231,73193.85,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
TAPIWANASHE,GUSVUDZO,9939335199,9101431692,15446.23,27404,11957.77,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
Taylor,Barbara,6123762963,854728048,4068.24,5190,1121.76,us dollar,pula,ZIM,Botswana,Cross-border,1,"Behavioural_Change_1,"
TERERE,Stanley,5693489866,3933371170,4658.88,20988,16329.12,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Small_Fan_Out,"
Thomas,Felicia,8203229522,8519194353,10227.49,29917,19689.51,us dollar,pula,ZIM,Botswana,Cross-border,0,"Normal_Fan_Out,"
Tinetariro,Michael,9749980386,2226094681,9640.62,11160377.05,11150736.44,us dollar,pula,ZIM,Botswana,Cross-border,1,"Deposit-Send,"
Williams,Tanya,3783057593,2531548770,1889.62,59987,58097.38,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
Wolfe,David,7279271900,3173291888,2261.24,3183,921.76,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
Wright,Tyler,7419470415,3173291888,8398.29,99634,91235.71,pula,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
ZUZE,Jennifer,5849180756,2531548770,2378.37,21236,18857.63,us dollar,pula,ZIM,Botswana,Cross-border,1,"Structuring,"
CHIKEPE,Shannon,5021785800,9745680135,48659.55,81554,32894.45,us dollar,Yen,russia,china,Cross-border,0,"Normal_Fan_Out,"
